L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,size,covered
1RadLex entity,Radlex descriptor,morphologic descriptor,multilobulated,,,,,,,,1,0
7RadLex entity,Radlex descriptor,color descriptor,white,,,,,,,,1,0
4RadLex entity,Radlex descriptor,status descriptor,progressive,,,,,,,,1,0
1RadLex entity,Radlex descriptor,certainty descriptor,suspected,,,,,,,,1,0
3RadLex entity,Radlex descriptor,certainty descriptor,uncertain,,,,,,,,1,0
31RadLex entity,Radlex descriptor,anatomically-related descriptor,femoral,,,,,,,,1,0
2RadLex entity,Radlex descriptor,composition descriptor,noncalcified,,,,,,,,1,0
1RadLex entity,Radlex descriptor,orientation descriptor,perpendicular,,,,,,,,1,0
5RadLex entity,Radlex descriptor,patient descriptor,human life stage descriptor,premature,,,,,,,1,0
1RadLex entity,clinical finding,pathophysiologic finding,body-system-specific disorder,disorder of immune function,allergy,,,,,,1,0
2RadLex entity,procedure,treatment,chemotherapy,,,,,,,,1,0
3RadLex entity,Radlex descriptor,location descriptor,contralateral,,,,,,,,1,0
19RadLex entity,Radlex descriptor,anatomically-related descriptor,septal,,,,,,,,1,0
6RadLex entity,Radlex descriptor,anatomically-related descriptor,ulnar,,,,,,,,1,0
4RadLex entity,Radlex descriptor,anatomically-related descriptor,dural,,,,,,,,1,0
17RadLex entity,Radlex descriptor,quality descriptor,diagnostic,,,,,,,,1,0
1RadLex entity,property,feature,,,,,,,,,1,0
4RadLex entity,Radlex descriptor,certainty descriptor,suggestive,,,,,,,,1,0
1RadLex entity,property,measurement type,angle,,,,,,,,1,0
1RadLex entity,procedure,imaging procedure,babygram,,,,,,,,1,0
1RadLex entity,Radlex descriptor,density descriptor,chondroid,,,,,,,,1,0
6RadLex entity,Radlex descriptor,density descriptor,lucent,,,,,,,,1,0
8RadLex entity,Radlex descriptor,density descriptor,lytic,,,,,,,,1,0
20RadLex entity,Radlex descriptor,anatomically-related descriptor,cortical,,,,,,,,1,0
10RadLex entity,Radlex descriptor,location descriptor,upper,,,,,,,,1,0
4RadLex entity,Radlex descriptor,location descriptor,lower,,,,,,,,1,0
2RadLex entity,Radlex descriptor,generalized descriptor,low,,,,,,,,1,0
4RadLex entity,Radlex descriptor,generalized descriptor,high,,,,,,,,1,0
1RadLex entity,Radlex descriptor,location descriptor,external,,,,,,,,1,0
18RadLex entity,Radlex descriptor,elasticity descriptor,soft,,,,,,,,1,0
9RadLex entity,Radlex descriptor,anatomically-related descriptor,vascular,,,,,,,,1,0
